Link,Book name,Author name,Year,Genres
https://knigogo.net/knigi/tri-tovarishha/#lib_book_download,Три товарища,['Эрих Мария Ремарк'],2012,"['Зарубежная классика', 'Классическая проза', 'Литература 20 века']"
https://knigogo.net/knigi/nagrada-dlya-generala-kniga-pervaya-shepot-vetra/#lib_book_download,Награда для генерала. Книга первая,['Лена Летняя'],2019,[]
https://knigogo.net/knigi/morskoj-volk/#lib_book_download,Морской волк,['Джек Лондон'],2016,"['Зарубежная классика', 'Зарубежные приключения', 'Литература 20 века', 'Морские приключения']"
https://knigogo.net/knigi/brisben/#lib_book_download,Брисбен,['Евгений Германович Водолазкин'],2018,[]
https://knigogo.net/knigi/master-i-margarita-bulgakov/#lib_book_download,Мастер и Маргарита,['Михаил Булгаков'],1940,"['Русская классика', 'Классическая проза', 'Ужасы и Мистика', 'Социальная фантастика', 'Школьная литература 11 класс', '🎓 Школьная литература']"
https://knigogo.net/knigi/unesennye-vetrom-tom-1/#lib_book_download,Унесенные ветром. Том 1,['Маргарет Митчелл'],1936,"['Зарубежная классика', 'Исторические любовные романы', 'Литература 20 века']"
https://knigogo.net/knigi/deti-kapitana-granta/#lib_book_download,Дети капитана Гранта,['Жюль Верн'],2009,"['Зарубежная классика', 'Зарубежные приключения', 'Книги о Путешествиях', 'Литература 19 века', 'Морские приключения']"
https://knigogo.net/knigi/dom-v-kotorom/#lib_book_download,"Дом, в котором…",['Мариам Петросян'],2008,"['Современная русская литература', 'Зарубежные любовные романы', 'Современные любовные романы']"
https://knigogo.net/knigi/krestnyj-otets/#lib_book_download,Крестный отец,['Марио Пьюзо'],1969,"['Зарубежная классика', 'Литература 20 века']"
https://knigogo.net/knigi/ubit-peresmeshnika/#lib_book_download,Убить пересмешника,['Харпер Ли'],1960,"['Зарубежная классика', 'Литература 20 века']"
https://knigogo.net/knigi/devushka-s-tatuirovkoj-drakona/#lib_book_download,Девушка с татуировкой дракона,['Стиг Ларссон'],2005,"['Зарубежные детективы', 'Триллеры']"
https://knigogo.net/knigi/robinzon-kruzo/#lib_book_download,Робинзон Крузо,['Даниэль Дефо'],1719,"['Зарубежная классика', 'Зарубежные приключения', 'Исторические приключения', 'Книги о Путешествиях', 'Литература 18 века', '🎓 Школьная литература', 'Школьная литература 6 класс']"
https://knigogo.net/knigi/odisseya/#lib_book_download,Одиссея,['Гомер'],XXXX,"['Мифы. Легенды. Эпос', 'Зарубежная старинная литература', 'Античная литература', 'Поэзия', '🎓 Школьная литература', 'Школьная литература 9 класс']"
https://knigogo.net/knigi/doroga/#lib_book_download,Дорога,['Кормак Маккарти'],2006,"['Зарубежная фантастика', 'Зарубежные детективы', 'Социальная фантастика', 'Триллеры', 'Книги про постапокалипсис']"
https://knigogo.net/knigi/zadacha-treh-tel/#lib_book_download,Задача трех тел,['Лю Цысинь'],2006,"['Боевая фантастика', 'Зарубежная фантастика', 'Космическая фантастика', 'Научная фантастика', 'Социальная фантастика']"
https://knigogo.net/knigi/zavodnoj-apelsin/#lib_book_download,Заводной апельсин,['Энтони Бёрджесс'],1962,"['Зарубежная классика', 'Социальная фантастика', 'Киберпанк']"
https://knigogo.net/knigi/chelovek-amfibiya/#lib_book_download,Человек-амфибия,['Александр Романович Беляев'],1927,"['Литература 20 века', 'Научная фантастика', 'Русская классика', 'Советская литература', 'Социальная фантастика']"
https://knigogo.net/knigi/pohoronite-menya-za-plintusom/#lib_book_download,Похороните меня за плинтусом,['Павел Санаев'],1995,[]
https://knigogo.net/knigi/alisa-v-strane-chudes/#lib_book_download,Алиса в Стране чудес,['Льюис Кэрролл'],2011,"['Детские приключения', 'Зарубежная классика', 'Зарубежная старинная литература', 'Зарубежные детские книги', 'Литература 19 века', 'Сказки']"
